vorname,nachname,verein,position,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24,S25,S26,S27,S28,S29,S30,S31,S32,S33,S34
Felix,Passlack,Borussia Dortmund,DEFENDER,36.0,74.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marius,Wolf,Borussia Dortmund,MIDFIELDER,45.0,17.0,50.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raphael Adelino,Jose Guerreiro,Borussia Dortmund,DEFENDER,46.0,152.0,245.0,250.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gregor,Kobel,Borussia Dortmund,GOAL_KEEPER,119.0,48.0,94.0,79.0,81.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dan-Axel,Zagadou,Borussia Dortmund,DEFENDER,79.0,-13.0,19.0,0.0,15.0,34.0,49.0,23.0,58.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,
Manuel,Akanji,Borussia Dortmund,DEFENDER,117.0,106.0,126.0,120.0,104.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Axel,Witsel,Borussia Dortmund,MIDFIELDER,95.0,67.0,139.0,50.0,61.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luca,Unbehaun,Borussia Dortmund,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tobias,Raschl,Borussia Dortmund,MIDFIELDER,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateu,Morey,Borussia Dortmund,DEFENDER,0.0,0.0,23.0,0.0,0.0,0.0,80.0,11.0,108.0,-4.0,0.0,0.0,0.0,0.0,4.0,66.0,0.0,0.0,121.0,131.0,-13.0,183.0,0.0,103.0,144.0,0.0,0.0,,,,,,,
Giovanni,Reyna,Borussia Dortmund,MIDFIELDER,155.0,79.0,201.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steffen,Tigges,Borussia Dortmund,FORWARD,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erling,Haaland,Borussia Dortmund,FORWARD,446.0,63.0,208.0,343.0,259.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,Pongracic,Borussia Dortmund,DEFENDER,90.0,15.0,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas,Meunier,Borussia Dortmund,DEFENDER,93.0,100.0,188.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jude,Bellingham,Borussia Dortmund,MIDFIELDER,147.0,95.0,213.0,69.0,88.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ansgar,Knauff,Borussia Dortmund,MIDFIELDER,-15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Youssoufa,Moukoko,Borussia Dortmund,FORWARD,10.0,-11.0,23.0,20.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reinier Jesus,Carvalho,Borussia Dortmund,MIDFIELDER,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soumaula,Coulibaly,Borussia Dortmund,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonios,Papadopoulos,Borussia Dortmund,DEFENDER,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abdoulaye,Kamara,Borussia Dortmund,DEFENDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Donyell,Malen,Borussia Dortmund,FORWARD,10.0,18.0,121.0,47.0,74.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amin,Younes,Eintracht Frankfurt,MIDFIELDER,25.0,-16.0,54.0,41.0,-15.0,27.0,118.0,167.0,75.0,105.0,151.0,114.0,77.0,121.0,81.0,206.0,40.0,79.0,28.0,60.0,11.0,38.0,21.0,-23.0,59.0,130.0,,,,,,,,
Makoto,Hasebe,Eintracht Frankfurt,DEFENDER,-18.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jens,Grahl,Eintracht Frankfurt,GOAL_KEEPER,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sebastian,Rode,Eintracht Frankfurt,MIDFIELDER,69.0,178.0,85.0,98.0,55.0,99.0,3.0,61.0,43.0,56.0,118.0,14.0,26.0,33.0,21.0,21.0,51.0,35.0,23.0,71.0,120.0,78.0,56.0,48.0,160.0,13.0,28.0,,,,,,,
Kevin,Trapp,Eintracht Frankfurt,GOAL_KEEPER,49.0,55.0,30.0,48.0,113.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timothy,Chandler,Eintracht Frankfurt,DEFENDER,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik,Durm,Eintracht Frankfurt,DEFENDER,64.0,121.0,77.0,40.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Danny,Da Costa,Eintracht Frankfurt,DEFENDER,-1.0,-2.0,46.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filip,Kostic,Eintracht Frankfurt,MIDFIELDER,15.0,136.0,114.0,89.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibril,Sow,Eintracht Frankfurt,MIDFIELDER,59.0,77.0,95.0,120.0,36.0,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher,Lenz,Eintracht Frankfurt,DEFENDER,38.0,129.0,80.0,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Hinteregger,Eintracht Frankfurt,DEFENDER,4.0,80.0,96.0,93.0,35.0,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefan,Ilsanker,Eintracht Frankfurt,MIDFIELDER,-26.0,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aymane,Barkok,Eintracht Frankfurt,MIDFIELDER,-1.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daichi,Kamada,Eintracht Frankfurt,MIDFIELDER,-10.0,20.0,45.0,99.0,56.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obite,Ndicka,Eintracht Frankfurt,DEFENDER,33.0,140.0,109.0,48.0,21.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonçalo,Mendes Paciência,Eintracht Frankfurt,FORWARD,29.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Almamy,Touré,Eintracht Frankfurt,DEFENDER,0.0,71.0,87.0,76.0,48.0,54.0,4.0,0.0,0.0,0.0,25.0,19.0,56.0,73.0,29.0,106.0,23.0,30.0,104.0,0.0,5.0,130.0,,,,,,,,,,,,
Lucas,Silva Melo,Eintracht Frankfurt,DEFENDER,0.0,0.0,37.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,59.0,85.0,80.0,114.0,126.0,89.0,66.0,37.0,74.0,10.0,36.0,69.0,-7.0,67.0,17.0,44.0,,,,
Diant,Ramaj,Eintracht Frankfurt,GOAL_KEEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ragnar,Ache,Eintracht Frankfurt,FORWARD,53.0,-4.0,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ajdin,Hrustic,Eintracht Frankfurt,MIDFIELDER,41.0,93.0,96.0,54.0,-3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martin,Pečar,Eintracht Frankfurt,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabio,Blanco Gomez,Eintracht Frankfurt,FORWARD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santos,Borré,Eintracht Frankfurt,FORWARD,-21.0,103.0,37.0,13.0,16.0,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesper,Lindstrøm,Eintracht Frankfurt,MIDFIELDER,44.0,132.0,28.0,41.0,6.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jens Petter,Hauge,Eintracht Frankfurt,MIDFIELDER,91.0,79.0,139.0,36.0,7.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kristijan,Jakić,Eintracht Frankfurt,MIDFIELDER,73.0,44.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam,Lammers,Eintracht Frankfurt,FORWARD,68.0,134.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benjamin,Uphoff,SC Freiburg,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mark,Flekken,SC Freiburg,GOAL_KEEPER,104.0,76.0,121.0,84.0,117.0,142.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian,Günter,SC Freiburg,DEFENDER,77.0,76.0,155.0,50.0,49.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vincenzo,Grifo,SC Freiburg,MIDFIELDER,133.0,204.0,75.0,49.0,19.0,214.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nils,Petersen,SC Freiburg,FORWARD,6.0,9.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicolas,Höfler,SC Freiburg,MIDFIELDER,90.0,96.0,50.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan,Schmid,SC Freiburg,DEFENDER,111.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manuel,Gulde,SC Freiburg,DEFENDER,60.0,33.0,70.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominique,Heintz,SC Freiburg,DEFENDER,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukas,Kübler,SC Freiburg,DEFENDER,22.0,56.0,40.0,97.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Janik,Haberer,SC Freiburg,MIDFIELDER,3.0,19.0,39.0,19.0,32.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximilian,Eggestein,SC Freiburg,MIDFIELDER,16.0,74.0,20.0,16.0,175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipp,Lienhart,SC Freiburg,DEFENDER,102.0,149.0,134.0,87.0,112.0,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucas,Höler,SC Freiburg,FORWARD,69.0,117.0,159.0,13.0,48.0,249.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keven,Schlotterbeck,SC Freiburg,DEFENDER,-2.0,0.0,0.0,0.0,0.0,0.0,75.0,84.0,101.0,160.0,97.0,120.0,139.0,61.0,-12.0,130.0,48.0,91.0,3.0,40.0,-5.0,-8.0,30.0,101.0,57.0,123.0,-9.0,17.0,37.0,0.0,0.0,,,
Woo-Yeong,Jeong,SC Freiburg,MIDFIELDER,46.0,86.0,234.0,31.0,-1.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roland,Sallai,SC Freiburg,MIDFIELDER,7.0,146.0,131.0,43.0,49.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico,Schlotterbeck,SC Freiburg,DEFENDER,136.0,121.0,156.0,149.0,87.0,156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yannik,Keitel,SC Freiburg,MIDFIELDER,66.0,-31.0,48.0,47.0,46.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ermedin,Demirović,SC Freiburg,FORWARD,-3.0,2.0,19.0,-1.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin,Schade,SC Freiburg,FORWARD,24.0,10.0,17.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nishan,Connell Burkart,SC Freiburg,FORWARD,0.0,-9.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiliann,Sildillia,SC Freiburg,DEFENDER,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah,Weißhaupt,SC Freiburg,FORWARD,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kerem,Demirbay,Bayer 04 Leverkusen,MIDFIELDER,90.0,101.0,205.0,43.0,51.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan,Tah,Bayer 04 Leverkusen,DEFENDER,88.0,168.0,110.0,37.0,114.0,119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Julian,Baumgartlinger,Bayer 04 Leverkusen,MIDFIELDER,-1.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karim,Bellarabi,Bayer 04 Leverkusen,MIDFIELDER,12.0,31.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert,Andrich,Bayer 04 Leverkusen,MIDFIELDER,54.0,48.0,69.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nadiem,Amiri,Bayer 04 Leverkusen,MIDFIELDER,68.0,131.0,16.0,20.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lukas,Hradecky,Bayer 04 Leverkusen,GOAL_KEEPER,82.0,279.0,86.0,59.0,86.0,159.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles,Aránguiz,Bayer 04 Leverkusen,MIDFIELDER,92.0,91.0,114.0,67.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panagiotis,Retsos,Bayer 04 Leverkusen,DEFENDER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.0,23.0,98.0,0.0,0.0,,,,,,,,,,,,,,,,
Lucas,Alario,Bayer 04 Leverkusen,FORWARD,-19.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paulo Henrique,Sampaio Filho,Bayer 04 Leverkusen,MIDFIELDER,11.0,61.0,105.0,64.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daley,Sinkgraven,Bayer 04 Leverkusen,DEFENDER,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moussa,Diaby,Bayer 04 Leverkusen,FORWARD,160.0,244.0,101.0,130.0,69.0,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Patrik,Schick,Bayer 04 Leverkusen,FORWARD,60.0,178.0,209.0,103.0,118.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exequiel,Palacios,Bayer 04 Leverkusen,MIDFIELDER,75.0,104.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edmond,Tapsoba,Bayer 04 Leverkusen,DEFENDER,140.0,74.0,40.0,173.0,96.0,82.0,88.0,37.0,114.0,35.0,69.0,33.0,113.0,85.0,109.0,77.0,101.0,88.0,164.0,220.0,101.0,144.0,120.0,65.0,81.0,122.0,138.0,84.0,99.0,122.0,83.0,,,
Florian,Wirtz,Bayer 04 Leverkusen,MIDFIELDER,71.0,195.0,179.0,232.0,223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emrehan,Gedikli,Bayer 04 Leverkusen,FORWARD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15.0,,,,,,,,,,,,,,,,,,,,,,
Timothy Evans,Fosu-Mensah,Bayer 04 Leverkusen,DEFENDER,0.0,20.0,58.0,79.0,67.0,80.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jeremie,Frimpong,Bayer 04 Leverkusen,DEFENDER,126.0,127.0,72.0,23.0,85.0,205.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrey,Lunev,Bayer 04 Leverkusen,GOAL_KEEPER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Batuhan Zidan,Sertdemir,Bayer 04 Leverkusen,MIDFIELDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchel,Bakker,Bayer 04 Leverkusen,DEFENDER,88.0,244.0,45.0,24.0,144.0,143.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odilon,Kossounou,Bayer 04 Leverkusen,DEFENDER,77.0,159.0,123.0,-65.0,91.0,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piero,Hincapié,Bayer 04 Leverkusen,DEFENDER,27.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amine,Adli,Bayer 04 Leverkusen,FORWARD,12.0,-18.0,27.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipp,Klement,VfB Stuttgart,MIDFIELDER,306.0,32.0,38.0,66.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc-Oliver,Kempf,VfB Stuttgart,DEFENDER,384.0,-14.0,79.0,40.0,114.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel,Didavi,VfB Stuttgart,MIDFIELDER,98.0,-21.0,-11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Erik,Thommy,VfB Stuttgart,MIDFIELDER,53.0,-5.0,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Waldemar,Anton,VfB Stuttgart,DEFENDER,114.0,31.0,104.0,-57.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pascal,Stenzel,VfB Stuttgart,DEFENDER,-2.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Florian,Müller,VfB Stuttgart,GOAL_KEEPER,86.0,84.0,90.0,64.0,-1.0,112.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orel,Mangala,VfB Stuttgart,MIDFIELDER,0.0,102.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nikolas,Nartey,VfB Stuttgart,MIDFIELDER,-10.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris,Führich,VfB Stuttgart,MIDFIELDER,81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atakan,Karazor,VfB Stuttgart,MIDFIELDER,19.0,86.0,35.0,96.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fabian,Bredlow,VfB Stuttgart,GOAL_KEEPER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.0,0.0,0.0
Borna,Sosa,VfB Stuttgart,DEFENDER,334.0,30.0,1.0,13.0,86.0,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Philipp,Förster,VfB Stuttgart,MIDFIELDER,247.0,5.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamadi,Al Ghaddioui,VfB Stuttgart,FORWARD,137.0,-2.0,206.0,8.0,-14.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roberto,Massimo,VfB Stuttgart,MIDFIELDER,83.0,38.0,30.0,49.0,16.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omar,Marmoush,VfB Stuttgart,FORWARD,21.0,18.0,157.0,17.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clinton,Mola,VfB Stuttgart,MIDFIELDER,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mateo,Klimowicz,VfB Stuttgart,MIDFIELDER,181.0,-16.0,55.0,8.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasa,Kalajdzic,VfB Stuttgart,FORWARD,-23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silas,Katompa Mvumpa,VfB Stuttgart,MIDFIELDER,118.0,264.0,18.0,75.0,21.0,-3.0,53.0,171.0,172.0,254.0,299.0,20.0,-7.0,10.0,221.0,140.0,219.0,158.0,17.0,46.0,110.0,103.0,39.0,178.0,-13.0,,,,,,,,,
Tanguy,Coulibaly,VfB Stuttgart,MIDFIELDER,10.0,-13.0,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lilian,Egloff,VfB Stuttgart,MIDFIELDER,18.0,0.0,0.0,0.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wataru,Endo,VfB Stuttgart,MIDFIELDER,240.0,59.0,143.0,95.0,76.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Konstantinos,Mavropanos,VfB Stuttgart,DEFENDER,158.0,31.0,144.0,129.0,129.0,121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alkhaly Momo,Cissé,VfB Stuttgart,FORWARD,5.0,0.0,0.0,0.0,1.0,0.0,0.0,-15.0,-25.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
Naouirou,Ahamada,VfB Stuttgart,MIDFIELDER,0.0,32.0,0.0,0.0,38.0,41.0,0.0,0.0,0.0,9.0,-87.0,-71.0,,,,,,,,,,,,,,,,,,,,,,
Mohamed,Sankoh,VfB Stuttgart,FORWARD,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ömer Faruk,Beyaz,VfB Stuttgart,MIDFIELDER,21.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hiroki,Ito,VfB Stuttgart,DEFENDER,5.0,11.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
