name,street,zip,city,distance,promo_zip,promo_city
Luisen-Apotheke am Opernhaus,Theaterstr. 14,30159,Hannover,73.0 km,38122,BRAUNSCHWEIG
Südstadt-Apotheke,An der Weide 23-25,30173,Hannover,72.6 km,38122,BRAUNSCHWEIG
Apotheke im A2 Center,Opelstr. 3-5,30916,Isernhagen,65.7 km,38122,BRAUNSCHWEIG
b33-Apotheke im Marktkauf,Konrad-Adenauer-Str. 33,31737,Rinteln,130 km,38122,BRAUNSCHWEIG
Pluspunkt-Apotheke,Pferdemarkt 1,31785,Hameln,99.5 km,38122,BRAUNSCHWEIG
MediCo Apotheke,Husener Str. 48,33098,Paderborn,128 km,45665,Recklinghausen
Süd Apotheke,Pohlweg 110,33100,Paderborn,127 km,45665,Recklinghausen
Alme Apotheke,Alter Hellweg 29,33106,Paderborn,122 km,45665,Recklinghausen
Aptheke am Salinenhof ,Geseker Str. 10,33154,Salzkotten,115 km,45665,Recklinghausen
Rats-Apotheke,Am Wallgraben 14,33154,Salzkotten,115 km,45665,Recklinghausen
Markt Apotheke,Bahnhofstr. 8,33415,Verl,105 km,45665,Recklinghausen
Pluspunkt-Apotheke,Niedernstr. 37,33602,Bielefeld,123 km,45665,Recklinghausen
Apotheke am Markt,Elbeallee 79,33689,Bielefeld,114 km,45665,Recklinghausen
Vita-Apotheke,Oldentruper Str. 236,33719,Bielefeld,121 km,45665,Recklinghausen
Mühlen-Apotheke,Mühlenstr. 2,33803,Steinhagen,122 km,45665,Recklinghausen
Engel-Apotheke am Rathaus,Obere Königsstr. 21,34117,Kassel,149 km,38122,BRAUNSCHWEIG
Landgraf-Karl-Apotheke,Landgraf-Karl-Str. 1,34131,Kassel,152 km,38122,BRAUNSCHWEIG
Einhorn Apotheke im DEZ,Frankfurter Str. 225,34134,Kassel,154 km,38122,BRAUNSCHWEIG
Apotheke im Ratio,Fuldastr. 1,34225,Baunatal,161 km,38122,BRAUNSCHWEIG
Neue-Apotheke Baunatal,Heinrich-Nordhoff-Str. 7,34225,Baunatal,161 km,38122,BRAUNSCHWEIG
Center Apotheke im Herkules,Lange Wender 7,34246,Vellmar,153 km,38122,BRAUNSCHWEIG
Diemeltal Apotheke,Hauptstraße 30,34431,Marsberg,213 km,38122,BRAUNSCHWEIG
St. Martin-Apotheke,Kasseler Str. 22 A,34560,Fritzlar,177 km,38122,BRAUNSCHWEIG
Pluspunkt-Apotheke im Forum,Am Forum 1,35576,Wetzlar,299 km,38122,BRAUNSCHWEIG
Engel Apotheke in Horas,Schlitzer Str. 87,36039,Fulda,246 km,38122,BRAUNSCHWEIG
Apotheke Marbaise Kaiserwiesen,Keltenstr. 20,36043,Fulda,250 km,38122,BRAUNSCHWEIG
Engel-Apotheke,Justus-Liebig-Str. 1,36100,Petersberg,246 km,38122,BRAUNSCHWEIG
Apotheke am Theater,Theaterstr. 17b,37073,Göttingen,108 km,38122,BRAUNSCHWEIG
Apotheca Hutfiltern,Hutfiltern 6,38100,Braunschweig,53.3 km,29221,Celle
Arkaden Apotheke,Platz am Ritterbrunnen 1,38100,Braunschweig,53.4 km,29221,Celle
Apotheke im BraWoPark,BraWo-Allee 1,38102,Braunschweig,62.0 km,29221,Celle
Elbe-Apotheke,Elbestr. 25,38120,Braunschweig,57.1 km,29221,Celle
easyApotheke Salzgitter Bad,Am Pfingstanger 7,38259,Salzgitter,93.4 km,29221,Celle
easyApotheke Wolfenbüttel,Schweigerstr. 9,38302,Wolfenbüttel,71.0 km,29221,Celle
Porsche-Apotheke,Porschestraße 41 E,38440,Wolfsburg,77.0 km,29221,Celle
Damian-Apotheke,Rudolf-Diesel-Str. 44,38820,Halberstadt,137 km,29221,Celle
Brücken-Apotheke,Platz des Friedens 1,38855,Wernigerode,117 km,29221,Celle
Pluspunkt-Apotheke im Allee-Center,Ernst-Reuter-Allee 11,39104,Magdeburg,98.9 km,38122,BRAUNSCHWEIG
Apotheke im Hauptbahnhof,Konrad-Adenauer-Platz 14,40210,Düsseldorf,31.0 km,45133,Essen
Atrium-Apotheke,Graf-Adolf-Str. 35,40210,Düsseldorf,33.5 km,45133,Essen
farma-plus Apotheke Düsseldorf,Flinger Str. 3,40213,Düsseldorf,34.4 km,45133,Essen
easy-Apotheke Suitbertusstraße,Suitbertusstr. 137,40223,Düsseldorf,37.2 km,45133,Essen
Apotheke Kempken,Altenbrückstr. 17,40599,Düsseldorf,40.1 km,45133,Essen
Adler-Apotheke,Mittelstr. 67,40721,Hilden,37.1 km,45133,Essen
Löwen-Apotheke,Talstr. 4-6,40822,Mettmann,30.0 km,45133,Essen
Biber-Apotheke,Jubiläumsplatz 3,40822,Mettmann,30.3 km,45133,Essen
Löwen-Apotheke-Ratingen,Eisenhüttenstr. 2,40882,Ratingen,23.9 km,45133,Essen
City-Apotheke,Bismarckstr. 34,41061,Mönchengladbach,22.3 km,47803,Krefeld
Linden Apotheke,Quadtstr. 20,41189,Mönchengladbach,34.2 km,47803,Krefeld
Kleeblatt-Apotheke im E-Center,Schellbergstr. 9,41469,Neuss,35.2 km,47803,Krefeld
Paracelsus-Apotheke,Kanalstr. 51-55,41748,Viersen,99.3 km,45665,Recklinghausen
Alpha-Apotheke,Hofaue 95,42103,Wuppertal,62.0 km,45665,Recklinghausen
Europa-Apotheke am Wall,Wall 1,42103,Wuppertal,59.2 km,45665,Recklinghausen
Sonnen Apotheke,Ascheweg 16,42369,Wuppertal,62.7 km,45665,Recklinghausen
Apotheke im WEZ,Bornstr. 160,44145,Dortmund,26.7 km,45665,Recklinghausen
Guten Tag-Apotheke im Real-Indupark,Wulfshofstr. 6-8,44149,Dortmund,25.9 km,45665,Recklinghausen
Kosmos-Apotheke,Brackeler Hellweg 138,44309,Dortmund,29.6 km,45665,Recklinghausen
Apotheke im PueD,Deutsche Str. 7,44339,Dortmund,27.8 km,45665,Recklinghausen
Apotheke Neue Evinger-Mitte,Deutsche Str. 4,44339,Dortmund,21.1 km,45665,Recklinghausen
Apotheke im Real,Siemensstr. 10,44579,Castrop-Rauxel,7.0 km,45665,Recklinghausen
Kompass Apotheke,Frielinghausstr. 8,44803,Bochum,26.6 km,45133,Essen
Westfalen-Apotheke,Riemker Str. 13,44809,Bochum,21.5 km,45133,Essen
farma-plus-Apotheke Beuth,Ückendorfer Str. 49,45327,Essen,15.0 km,45133,Essen
Pelikan-Vital-Apotheke,Hans-Böckler-Platz 10,45468,Mülheim,10.0 km,45133,Essen
Pinguin-Apotheke im Carre,Reschop Carre Platz 1,45525,Hattingen,31.6 km,45133,Essen
Löwen-Apotheke am Markt,Westfalenstr. 145,45661,Recklinghausen,30.4 km,45133,Essen
Kleeblatt-Apotheke im Kaufland,Berliner Platz 14,45739,Oer-Erkenschwick,44.4 km,45133,Essen
Hermann-Brassert-Apotheke,Brassertstr. 109,45768,Marl,36.4 km,45133,Essen
Finken-Apotheke,Finkenstr. 61-63,45772,Marl,49.8 km,45133,Essen
farma-plus-Apotheke Beuth,Ulrichstr. 10,45891,Gelsenkirchen,22.9 km,45133,Essen
farma-plus-Apotheke Beuth in Erle,Cranger Str. 278,45891,Gelsenkirchen,23.9 km,45133,Essen
Bären-Apotheke,Südring-Center-Promenade 1,46242,Bottrop,15.6 km,45133,Essen
Dorf-Apotheke,Hauptstr. 34,46244,Bottrop,51.8 km,45133,Essen
Atrium-Apotheke,Moerser Str. 238-240,47198,Duisburg,37.7 km,45133,Essen
Kleeblatt-Apotheke,Asterlager Str. 90,47228,Duisburg,37.1 km,45133,Essen
Ventalis-Apotheke,Moerser Str. 290,47475,Kamp-Lintfort,24.2 km,47803,Krefeld
Römer-Apotheke OHG,Römerstr. 16-18,47495,Rheinberg,27.9 km,47803,Krefeld
Einhorn-Apotheke OHG,Steinstr. 18,47574,Goch,62.0 km,47803,Krefeld
Herzogen-Apotheke OHG,Voßstr. 57-59,47574,Goch,62.2 km,47803,Krefeld
Eschendorf-Apotheke,Osnabrücker Str. 250,48429,Rheine,165 km,47803,Krefeld
Schotthock-Apotheke,Bonifatiusstr. 61,48429,Rheine,160 km,47803,Krefeld
Vita-Apotheke,Pagenstecherstr. 133,49090,Osnabrück,181 km,47803,Krefeld
Nibelungen-Apotheke,Schulstr. 1,49170,Hagen,169 km,47803,Krefeld
Bad-Apotheke,Frankfurter Str. 29,49214,Bad Rothenfelde,170 km,47803,Krefeld
Apotheke am Schullendamm,Schullendamm 60,49716,Meppen,189 km,47803,Krefeld
Apotheke-Gievert,Neuer Markt 11,49733,Haren,199 km,47803,Krefeld
Apotheke im Hauptbahnhof,Trankgasse 11,50667,Köln,66.1 km,47803,Krefeld
Maris-Apotheke,Neusser Str. 210,50733,Köln,65.4 km,47803,Krefeld
Acnos-Apotheke im Aquis Plaza,Adalbertstr. 100,52062,Aachen,97.1 km,47803,Krefeld
Kleeblatt-Apotheke im Kaufland,Schumanstr. 4,52146,Würselen,90.8 km,47803,Krefeld
easy-Apotheke,Langwahn 54,52249,Eschweiler,88.9 km,47803,Krefeld
Jesuiten-Apotheke,Hauptstr. 83,53474,Bad Neuenahr-Ahrweiler,125 km,47803,Krefeld
Rathaus-Apotheke,Rathausallee 16,53757,Sankt Augustin,105 km,47803,Krefeld
Römer-Apotheke,Breite Str. 31,55124,Mainz,256 km,47803,Krefeld
Pfalz-Apotheke,Bahnhofstr. 26,55218,Ingelheim,245 km,47803,Krefeld
Apotheke im Kaufland,Schwabenheimer Weg 5,55543,Bad Kreuznach,238 km,47803,Krefeld
gesundleben Apotheke Dr.Marc Muchow,Alzeyer Str. 81,55543,Bad Kreuznach,237 km,47803,Krefeld
Einhorn-Apotheke,Mannheimer Str. 128,55543,Bad Kreuznach,237 km,47803,Krefeld
Apotheke im Löhr-Center,Hohenfelder Str. 22,56068,Koblenz,175 km,47803,Krefeld
Palm Pharma,Altlöhrtor 17,56068,Koblenz,175 km,47803,Krefeld
Alexandria-Apotheke,Am Einkaufspark 1,56462,Höhn,195 km,47803,Krefeld
Apotheke im Hit,Hausener Str. 2-6,56727,Mayen,154 km,47803,Krefeld
easy-Apotheke,Sandstr. 163,57072,Siegen,156 km,47803,Krefeld
Farma-Plus Apotheke Lennestadt,Hundemstr. 43,57368,Lennestadt,163 km,47803,Krefeld
Apotheke im Marktkauf,Kölner Str. 313,58256,Ennepetal,86.6 km,47803,Krefeld
Pluspunkt Apotheke im Stern-Center,Wilhelmstr. 33,58511,Lüdenscheid,120 km,47803,Krefeld
Apotheke im Kaufland,Theodor-Heuss-Ring 11-25,58636,Iserlohn,112 km,47803,Krefeld
Pluspunkt Apotheke Hemer,Hauptstr. 172,58675,Hemer,117 km,47803,Krefeld
Allee-Center-Apotheke,Richard-Matthaei-Platz 1,59065,Hamm,120 km,47803,Krefeld
Alte Hirsch Apotheke,Bahnhofstraße 12,59929,Brilon,141 km,45133,Essen
Apotheke im Volksbankcenter,Bahnhofstraße 18 ,59929,Brilon,141 km,45133,Essen
Apotheke am Reuterweg,Reuterweg 68-70,60323,Frankfurt,69.3 km,64646,Heppenheim
Apotheke im Riedberg-Zentrum OHG,Riedbergplatz 2,60438,Frankfurt,73.6 km,64646,Heppenheim
Apotheke im Brunnen-Center,Dortelweiler Platz 2,61118,Bad Vilbel,82.3 km,64646,Heppenheim
Kur- und Bade-Apotheke,Louisenstr. 77,61348,Bad Homburg,74.8 km,64646,Heppenheim
Apotheke im Ring-Center,Odenwaldring 70,63069,Offenbach,67.8 km,64646,Heppenheim
Apotheke im Real,Robert-Bosch-Str. 15,63303,Dreieich,57.5 km,64646,Heppenheim
Apotheke am Kinzigbogen,Kinzigbogen 6,63452,Hanau,89.9 km,64646,Heppenheim
Sonnen-Apotheke,Königsberger Str. 75,63512,Hainburg,78.1 km,64646,Heppenheim
Flora-Apotheke,Weisskirchenweg 11,63571,Gelnhausen,104 km,64646,Heppenheim
Einhorn-Apotheke,Ludwigsplatz 1,64283,Darmstadt,33.3 km,64646,Heppenheim
Sonnen-Apotheke,Hasengartenstr. 25,65189,Wiesbaden,70.3 km,64646,Heppenheim
Apotheke im Real,Äppelallee 69,65203,Wiesbaden,70.7 km,64646,Heppenheim
Neue Amts-Apotheke,Pommernstr. 47,65520,Bad Camberg,96.2 km,64646,Heppenheim
Apotheke im Kaufland,Westerwaldstr. 111,65549,Limburg,111 km,64646,Heppenheim
Stadt-Apotheke,Bahnhofstr. 37,66111,Saarbrücken,151 km,64646,Heppenheim
easy-Apotheke,Quierschieder Weg 3 D,66280,Sulzbach,143 km,64646,Heppenheim
Apotheke im Globus Einöd,Neunmorgenstr.,66424,Homburg,134 km,64646,Heppenheim
Apotheke im Kaufland,Wormser Str. 109,67227,Frankenthal,37.1 km,64646,Heppenheim
Apotheke im Globus,Merkurstr. 57,67663,Kaiserslautern,88.8 km,64646,Heppenheim
CenterApotheke Kaufl. Rohrbach Süd,Hertzstr. 1,69126,Heidelberg,42.0 km,64646,Heppenheim
Mult-Zentrum-Apotheke,Berliner Platz 1,69469,Weinheim,17.9 km,64646,Heppenheim
Apotheke Butz,Mönsheimer Str. 50,71296,Heimsheim,116 km,89231,Neu Ulm
Rems-Park-Apotheke,Ruhrstr. 5,71332,Waiblingen,103 km,89231,Neu Ulm
Apotheke im E-Center,Emil-Adolff-Str. 21,72760,Reutlingen,85.5 km,89231,Neu Ulm
Sonnen-Apotheke,Stuttgarter Str. 1,73054,Eislingen,48.6 km,89231,Neu Ulm
Apotheke im Kaufland,Dr.-Adolf-Schneider-Str. 20,73479,Ellwangen,79.6 km,89231,Neu Ulm
Apotheke im ES,Berliner Str. 2,73728,Esslingen,86.1 km,89231,Neu Ulm
Rain-Apotheke,Kronenstr. 43,73734,Esslingen,82.8 km,89231,Neu Ulm
Apotheke am Rosenberg,Olgastr. 57,74072,Heilbronn,153 km,89231,Neu Ulm
Harfensteller-Apotheke am Wollhaus,Am Wollhaus 4,74072,Heilbronn,153 km,89231,Neu Ulm
Apotheke am Gesundbrunnen,Neckargartacher Str. 111,74080,Heilbronn,164 km,89231,Neu Ulm
Apotheke im Kaufland,Rötelstr. 35,74172,Neckarsulm,160 km,89231,Neu Ulm
QmediKo-Apotheke,Weilerwiese 5,74523,Schwäbisch Hall,157 km,89231,Neu Ulm
Vitalwelt-Apotheke im Kerz,Daimlerstr. 70,74545,Michelfeld,158 km,89231,Neu Ulm
Bahnhof-Apotheke,Friedrichstr. 16/AM BAHNHOF,74889,Sinsheim,186 km,89231,Neu Ulm
Vital-Welt-Apotheke,Pforzheimer Str. 46,75015,Bretten,145 km,89231,Neu Ulm
Center-Apotheke Wilferdinger Höhe,Wilhelm-Becker-Str.15,75179,Pforzheim,138 km,89231,Neu Ulm
Apotheke im Scheck-in Center,Rüppurrer Str. 1,76137,Karlsruhe,160 km,89231,Neu Ulm
Neue Apotheke Oos,Wilhelm-Drapp-Str. 23,76532,Baden-Baden,182 km,89231,Neu Ulm
farma-plus-Apotheke,Dammühlstr. 11,76829,Landau,196 km,89231,Neu Ulm
Apotheke Hornbach Zentrum,Hornbachstr. 17,76879,Bornheim,198 km,89231,Neu Ulm
AVIE Apotheke im Real,Georg-Fischer-Str. 15,78224,Singen,146 km,89231,Neu Ulm
Brunnen-Apotheke,Bertoldstr.8,79098,Freiburg,288 km,89231,Neu Ulm
easy-Apotheke Emmendingen,Freiburger Str. 4,79312,Emmendingen,276 km,89231,Neu Ulm
Apotheke im Rheincenter,Hauptstr. 437,79576,Weil am Rhein,340 km,89231,Neu Ulm
Stadt-Apotheke,Hauptstr. 302,79576,Weil am Rhein,342 km,89231,Neu Ulm
Apotheke im Kaufland Rheinfelden,Großfeldstr. 2,79618,Rheinfelden,315 km,89231,Neu Ulm
Apotheke im Laufenpark,Laufenpark 16,79725,Laufenburg,276 km,89231,Neu Ulm
Bären-Apotheke,Brückenstr.7,79761,Waldhut-Tiengen,265 km,89231,Neu Ulm
Internationale Ludwigs-Apotheke,Neuhauser Str. 11,80331,München,4.5 km,81679,München
Dr.Becker`s Central-Apotheke,Stachus Einkauszentrum 11,80335,München,4.3 km,81679,München
Int. Hauptbahnhof-Apotheke,Bahnhofplatz 2,80335,München,4.9 km,81679,München
Saniplus Apotheke im OEZ,Riesstr. 59,80993,München,9.9 km,81679,München
Arnika-Apotheke am Herkomerplatz,Oberföhringer Str. 2,81679,München,0.9 km,81679,München
SaniPlus-Apotheke Riem,Willy-Brandt-Platz 5,81829,München,8.2 km,81679,München
St. Martin-Apotheke,Untere Bahnhofstr. 38,82110,Germering,27.9 km,81679,München
West-Apotheke,Heimstättenstr. 34,82256,Fürstenfeldbruck,45.2 km,81679,München
Rosen-Apotheke,Gebhardtstr. 1,82515,Wolfratshausen,40.2 km,81679,München
Rosen Apotheke,Happinger Str. 77 B,83026,Rosenheim,67.0 km,81679,München
Optymed-Apotheke,Äußere Münchener Str. 100,83026,Rosenheim,64.3 km,81679,München
Optymed-Apotheke,An der Alten Spinnerei 8,83059,Kolbermoor,65.2 km,81679,München
Schloss-Apotheke,Bahnhofstr. 5,83229,Aschau,80.8 km,81679,München
Neue-Hof-Apotheke,Moraltpark 1 D,83646,Bad Tölz,54.3 km,81679,München
Wallberg Apotheke,Nördliche Hauptstr. 14,83700,Rottach-Egern,55.3 km,81679,München
PrimaVital Apotheke am Marienpl.OHG,Marienplatz 16,84130,Dingolfing,105 km,81679,München
easy-Apotheke,Braumeisterstr. 1,84524,Neuötting,94.6 km,81679,München
Apotheke im Westpark,Am Westpark 6,85057,Ingolstadt,85.0 km,81679,München
St. Johannis-Apotheke,Hauptplatz 25,85276,Pfaffenhofen,52.5 km,81679,München
Rathaus Apotheke,Rathausplatz 2,85716,Unterschleißheim,22.4 km,81679,München
Apotheke City-Galerie,Willy-Brandt-Platz 1,86153,Augsburg,78.0 km,81679,München
Rathaus-Apotheke,Schloßstr. 3,86405,Meitingen,92.6 km,81679,München
Alte-Apotheke,Fuggerstr. 37,86830,Schwabmünchen,93.1 km,81679,München
Pluspunkt-Apotheke im Forum Allgäu,August-Fischer-Platz 1,87435,Kempten,135 km,81679,München
Stadt-Apotheke,Reichenstr. 12,87629,Füssen,136 km,81679,München
easy Apotheke Geisseestraße,Konstanzenstr. 92,90439,Nürnberg,167 km,81679,München
Center-Apotheke,Glogauer Str. 30-38,90473,Nürnberg,160 km,81679,München
Apotheke im Marktkauf,Laufamholzstr. 40-42,90482,Nürnberg,170 km,81679,München
Pluspunkt Apotheke im Mercado,Äußere Bayreuther Str. 80,90491,Nürnberg,175 km,81679,München
Arcaden-Apotheke,Nürnberger Str. 7,91052,Erlangen,189 km,81679,München
Markgrafen-Apotheke,Nürnberger Str. 34,91522,Ansbach,202 km,81679,München
Apotheke Kiderlen,Dinkelsbühler Str. 26,91555,Feuchtwangen,233 km,81679,München
easy-Apotheke Weiden,Dr.-Seeling-Str. 18-24,92637,Weiden,201 km,81679,München
Apotheke Stadtgalerie,Bahnhofstr. 1,94032,Passau,191 km,81679,München
Apotheke-im Rotmain-Center,Hohenzollernring 58,95444,Bayreuth,232 km,81679,München
Medcenter-Apotheke,Spinnereistr. 7,95445,Bayreuth,235 km,81679,München
Glocken-Apotheke,Forchheimer Str. 47,96129,Strullendorf,221 km,81679,München
Neue-Apotheke Lengfeld,Industriestr. 7,97076,Würzburg,279 km,81679,München
Stadt-Apotheke,V. Hessing-Str. 1,97688,Bad Kissingen,317 km,81679,München
Boxberger-Apotheke,Untere Marktstr. 12,97688,Bad Kissingen,317 km,81679,München
Spangenberg-Apotheke,Steinweg 31,98527,Suhl,283 km,38122,BRAUNSCHWEIG
Ega-Apotheke,Gothaer Str. 22,99094,Erfurt,220 km,38122,BRAUNSCHWEIG
Brunnen-Apotheke,Erfurter Str. 72,99095,Erfurt,211 km,38122,BRAUNSCHWEIG
