"price","area","rooms","address","part"
1104,106,3,"Hermannstraße 163 - 167, Hörde, Dortmund","Hörde"
246.11,56.97,2,"Kaiserstraße 206, Innenstadt, Dortmund","Innenstadt"
365,60.68,3,"Blücherstraße 22, Innenstadt, Dortmund","Innenstadt"
577,108,3,"Wickede, Dortmund","Wickede"
520,74,3.5,"Lange Straße 92, Innenstadt, Dortmund","Innenstadt"
635,91,4,"Vorläuferweg 27, Schüren, Dortmund","Schüren"
2825,230,6,"röhrichtweg 32, Berghofen, Dortmund","Berghofen"
1515,135,4,"Röhrichtweg 32 u. 34, Berghofen, Dortmund","Berghofen"
490,57.25,3,"Wallstr. 2, Innenstadt, Dortmund","Innenstadt"
479,83,3,"Vogelpothsweg 18, Dorstfeld, Dortmund","Dorstfeld"
499,96,3,"Vogelpothsweg 14, Dorstfeld, Dortmund","Dorstfeld"
549,96,4,"Vogelpothsweg 14, Dorstfeld, Dortmund","Dorstfeld"
385,45,2,"Kirchlinde, Dortmund","Kirchlinde"
416,52,2.5,"Wischlingen, Dortmund","Wischlingen"
1245,165.9,6,"Kuckelke 20, Innenstadt, Dortmund","Innenstadt"
340,60.12,2,"Johanna-Melzer-Straße 25, Innenstadt, Dortmund","Innenstadt"
485,76,2,"Holtbrügge 66, Lücklemberg, Dortmund","Lücklemberg"
560,90.05,3.5,"Saarlandstr. 49, Innenstadt, Dortmund","Innenstadt"
655,52,2,"Köln-Berliner-Straße 39, Aplerbeck, Dortmund","Aplerbeck"
1266,115,3,"Bremer Straße 16, Innenstadt, Dortmund","Innenstadt"
1190,115,3,"Hallesche Straße 90-92, Körne, Dortmund","Körne"
880,104,3,"Hallerey 30, Dorstfeld, Dortmund","Dorstfeld"
780,130,4,"Intückenweg 9, Lichtendorf, Dortmund","Lichtendorf"
480,48,2,"Frankenstraße 6, Innenstadt, Dortmund","Innenstadt"
885,85,3,"Innenstadt, Dortmund","Innenstadt"
440,44,2,"Johannesstraße 2, Innenstadt, Dortmund","Innenstadt"
408.27,66.93,2.5,"Am Bellwinkelhof 43, Scharnhorst, Dortmund","Scharnhorst"
510,51,2.5,"Metzer Straße 16, Innenstadt, Dortmund","Innenstadt"
650,81.93,3.5,"Schüruferstraße 147, Schüren, Dortmund","Schüren"
617,92,3.5,"Otto-Brenner-Weg 5, Hombruch, Dortmund","Hombruch"
495.63,81.25,3.5,"Am Bellwinkelhof 41, Scharnhorst, Dortmund","Scharnhorst"
700,87,2,"Wittekindstraße 29, Innenstadt, Dortmund","Innenstadt"
720,100,3.5,"Flughafenstrasse 21, Brackel, Dortmund","Brackel"
480,106,4,"Hostedde, Dortmund","Hostedde"
1290,106,3.5,"Röhrichtweg 12, Berghofen, Dortmund","Berghofen"
510,61,2,"Gutenbergstraße 58, Innenstadt, Dortmund","Innenstadt"
1070,89.5,3,"Röhrichtweg 29, Berghofen, Dortmund","Berghofen"
735,98,2,"Hagener Str. 258, Kirchhörde, Dortmund","Kirchhörde"
350,45,2,"Altenderner Straße 158, Derne, Dortmund","Derne"
470,47,2,"Wißstraße 26, Innenstadt, Dortmund","Innenstadt"
340,76,3,"Steinfurtweg 21, Kirchlinde, Dortmund","Kirchlinde"
1500,160,3,"Feldbank 5, Hacheney, Dortmund","Hacheney"
972,76,2,"Kontorstraße 4, Innenstadt, Dortmund","Innenstadt"
440,44,1,"Kleppingstraße 27, Innenstadt, Dortmund","Innenstadt"
370,56.86,2.5,"Dreherstraße 13, Innenstadt, Dortmund","Innenstadt"
371,57.02,2.5,"Dreherstraße 13, Innenstadt, Dortmund","Innenstadt"
356.59,54.86,2.5,"Schlosserstraße 14, Innenstadt, Dortmund","Innenstadt"
645,70,2,"Wittbräucker Str. 568, Holzen, Dortmund","Holzen"
1296,129,4,"Kohlensiepenstraße 6, Schüren, Dortmund","Schüren"
560,77,2.5,"Sölde, Dortmund","Sölde"
1175,108,3,"Ziethenstraße 23, Innenstadt, Dortmund","Innenstadt"
1575,131,4,"Obermarkstrasse 129, Berghofen, Dortmund","Berghofen"
890,105,3,"Kronprinzenstraße 58, Innenstadt, Dortmund","Innenstadt"
790,68,2.5,"Provinzialstr. 168, Lütgendortmund, Dortmund","Lütgendortmund"
406.87,65.1,3,"Johannisborn 7, Innenstadt, Dortmund","Innenstadt"
325,48,2,"Limbecker Straße 8, Lütgendortmund, Dortmund","Lütgendortmund"
330,29.92,1.5,"Innenstadt, Dortmund","Innenstadt"
620,73,2.5,"Stockumer Str. 396, Eichlinghofen, Dortmund","Eichlinghofen"
640,95,4,"Hoher Wall 2, Innenstadt, Dortmund","Innenstadt"
895,97.6,2.5,"Baeumerstraße 15, Innenstadt, Dortmund","Innenstadt"
710,101.01,3,"Hostedder Straße 39, Hostedde, Dortmund","Hostedde"
400,30,1,"Ludwigstraße 4, Innenstadt, Dortmund","Innenstadt"
825,123,3,"Ostkirchstr 34, Berghofen, Dortmund","Berghofen"
460,49,3,"Lücklemberg, Dortmund","Lücklemberg"
385,55,2,"Huckarder Allee 39, Huckarde, Dortmund","Huckarde"
406,58,2.5,"Ortdieck 1, Brechten, Dortmund","Brechten"
510,71,3,"Oespel, Dortmund","Oespel"
280,42,2.5,"Anemonenstraße 10, Sölde, Dortmund","Sölde"
255,51,2,"Stahlwerkstraße 69, Innenstadt, Dortmund","Innenstadt"
1095,103,4,"Hörde, Dortmund","Hörde"
355,56,3.5,"Dortustraße 15, Westerfilde, Dortmund","Westerfilde"
440,68,3,"wittbräuckerstr. 393, Höchsten, Dortmund","Höchsten"
1060,106,3,"Friedenstraße 16, Innenstadt, Dortmund","Innenstadt"
330,66,2,"Hutererweg 17, Lanstrop, Dortmund","Lanstrop"
425,60,2.5,"Lütgendortmund, Dortmund","Lütgendortmund"
890,117,3,"Kirchhörder Kopf 5 c, Kirchhörde, Dortmund","Kirchhörde"
630,90,3.5,"Wellinghofer Straße 60, Hörde, Dortmund","Hörde"
470,47,2,"Schliepstraße 1, Innenstadt, Dortmund","Innenstadt"
335,56.17,2,"Provinzialstraße 7, Lütgendortmund, Dortmund","Lütgendortmund"
509,70.65,3.5,"Stempelweg 7, Schüren, Dortmund","Schüren"
429,69.04,3.5,"Markscheiderstraße 9, Schüren, Dortmund","Schüren"
500,65,2,"Innenstadt, Dortmund","Innenstadt"
1400,133,3,"Hörder Hafenstraße 6, Hörde, Dortmund","Hörde"
290,32,2,"Berghofen, Dortmund","Berghofen"
433.92,73.67,3,"Mengeder Schulstr. 53-55, Mengede, Dortmund","Mengede"
420,76,2.5,"Weißenburger Straße 61, Innenstadt, Dortmund","Innenstadt"
347,44,1,"Ostwall 12, Innenstadt, Dortmund","Innenstadt"
425,78,3.5,"Wilhelmshöh 45, Lütgendortmund, Dortmund","Lütgendortmund"
300,40,2.5,"Haydnstr. 39, Innenstadt, Dortmund","Innenstadt"
550,65,3,"Aplerbeck, Dortmund","Aplerbeck"
510,81,3,"Lübeckerstr. 8, Innenstadt, Dortmund","Innenstadt"
330,55,2,"Eving, Dortmund","Eving"
650,100,4,"Altenderner Straße 141, Derne, Dortmund","Derne"
449,55,2.5,"Huckarde, Dortmund","Huckarde"
462.3,67,2,"Wilhelm-Crüwell-Str. 15, Innenstadt, Dortmund","Innenstadt"
430,73,2,"Lütgendortmunder Str. 30, Lütgendortmund, Dortmund","Lütgendortmund"
750,67,3,"Kolmarer Straße 12, Innenstadt, Dortmund","Innenstadt"
1122,103,3,"rosenowstr. 18-20, Hörde, Dortmund","Hörde"
440,44,1,"Arndtstraße 4, Innenstadt, Dortmund","Innenstadt"
370,50,2,"Asselner Hellweg 124, Asseln, Dortmund","Asseln"
475,68,3,"Asselner Hellweg 124, Asseln, Dortmund","Asseln"
451.4,74,3.5,"Hafer-Vöhde 20, Derne, Dortmund","Derne"
360,44,2.5,"Dessauerstraße 15, Hörde, Dortmund","Hörde"
167,41.75,2,"Missundestr. 47, Innenstadt, Dortmund","Innenstadt"
480,98.8,3.5,"Schleswiger Straße 46, Innenstadt, Dortmund","Innenstadt"
750,100,4,"Innenstadt, Dortmund","Innenstadt"
540,62.85,2.5,"Schleifenstraße 77, Lindenhorst, Dortmund","Lindenhorst"
377.16,56.63,3,"Hörder Kampweg 22, Benninghofen, Dortmund","Benninghofen"
244.82,47.94,1.5,"Kronprinzenstr. 29, Innenstadt, Dortmund","Innenstadt"
469,71.7,3.5,"Hosbachstr. 4, Aplerbeck, Dortmund","Aplerbeck"
449,70.04,3.5,"Hosbachstr. 8, Aplerbeck, Dortmund","Aplerbeck"
299,45.33,2.5,"Eugen-Richter-Str. 25, Nette, Dortmund","Nette"
310.15,58.62,2,"Von-der-Tann-Straße 34, Innenstadt, Dortmund","Innenstadt"
332,51,2,"Lütgendortmunder Str. 101, Lütgendortmund, Dortmund","Lütgendortmund"
500,83,3,"Alter Mühlenweg 10, Innenstadt, Dortmund","Innenstadt"
350,35,1.5,"Düsseldorfer Straße 12, Innenstadt, Dortmund","Innenstadt"
309,49,3,"Hörder Bruch Hörder Bruch 47, Hörde, Dortmund","Hörde"
400,57,2,"Rheinische Str. 27, Innenstadt, Dortmund","Innenstadt"
220,35,2,"Wickede, Dortmund","Wickede"
580,101,3,"Mengeder Straße 700, Mengede, Dortmund","Mengede"
369.34,70.35,3.5,"Steinwertweg 4, Wickede, Dortmund","Wickede"
395,47,2,"Johannesstraße 33, Innenstadt, Dortmund","Innenstadt"
1260,110,4,"Friedrichstraße 33, Innenstadt, Dortmund","Innenstadt"
355,64.46,3.5,"Wambeler Heide 16a, Scharnhorst, Dortmund","Scharnhorst"
345,66.86,3,"Gössingstraße 40, Wickede, Dortmund","Wickede"
375,73.45,3,"Gössingstraße 40, Wickede, Dortmund","Wickede"
550.48,68.81,3.5,"Erlenbachstr. 124, Berghofen, Dortmund","Berghofen"
331.68,76.25,3.5,"Adelhartweg 8, Nette, Dortmund","Nette"
345,69,3.5,"Albert-Schweitzer-Weg 25, Rahm, Dortmund","Rahm"
350,69,3.5,"Albert-Schweitzer-Weg 11, Rahm, Dortmund","Rahm"
329,43.12,3,"Boberstr. 9, Aplerbeck, Dortmund","Aplerbeck"
388.73,70.55,3,"Max-Brod-Straße 16, Scharnhorst, Dortmund","Scharnhorst"
372.23,76.14,3,"Severingstraße 3, Scharnhorst, Dortmund","Scharnhorst"
378.91,68,3,"Polliusweg 2, Wickede, Dortmund","Wickede"
350,46,2,"Kirchhörde, Dortmund","Kirchhörde"
530,88.3,3.5,"Kaiserstraße 52, Innenstadt, Dortmund","Innenstadt"
420,59.97,2,"Felkestraße 21, Wambel, Dortmund","Wambel"
331.74,75,3,"Bandelstraße 19, Dorstfeld, Dortmund","Dorstfeld"
229,40,1,"Schramweg 7, Schüren, Dortmund","Schüren"
314,56,2.5,"Wellinghofer Str 67, Hörde, Dortmund","Hörde"
413,68.97,2,"Rittershausstraße 64, Innenstadt, Dortmund","Innenstadt"
264,58.08,3,"Wickeder Hellweg 146, Wickede, Dortmund","Wickede"
1485,135,4,"Kirchhörde, Dortmund","Kirchhörde"
370,58.7,2,"Huestraße 82, Hörde, Dortmund","Hörde"
500,50,2,"Schützenstr. 72, Innenstadt, Dortmund","Innenstadt"
341.89,61,2,"Sckellstraße 30, Innenstadt, Dortmund","Innenstadt"
1100,102.97,4,"Rudolf-Platte-Weg 16, Hörde, Dortmund","Hörde"
349.06,54.54,3,"Dörwerstraße 61, Nette, Dortmund","Nette"
399,56.92,2.5,"Mahlscheidt 4, Oestrich, Dortmund","Oestrich"
327.4,76.67,3.5,"Winterkamp 2, Holzen, Dortmund","Holzen"
599,78,3.5,"Am Bahnhof Tierpark 40, Renninghausen, Dortmund","Renninghausen"
529,70.66,3,"Brechtener Heide 113, Brechten, Dortmund","Brechten"
419,72,3,"Steiermarkstr. 49, Eving, Dortmund","Eving"
459,71.46,3.5,"Hosbachstr. 12, Aplerbeck, Dortmund","Aplerbeck"
449,63.61,3,"Auf dem Brauck 103, Oestrich, Dortmund","Oestrich"
399,47.22,2.5,"Fine Frau 45, Dorstfeld, Dortmund","Dorstfeld"
339,41.94,3,"Gitschiner Str. 39, Eving, Dortmund","Eving"
349,48.45,2.5,"Im Orde 40, Bodelschwingh, Dortmund","Bodelschwingh"
430,62.61,2.5,"Mamertusstr. 13, Huckarde, Dortmund","Huckarde"
320,51,2,"Huestraße 86, Hörde, Dortmund","Hörde"
1250,127.89,5,"Rudolf-Platte-Weg 16, Hörde, Dortmund","Hörde"
1090,111.87,4,"Rudolf-Platte-Weg 16, Hörde, Dortmund","Hörde"
640,63.47,2,"Rudolf-Platte-Weg 16, Hörde, Dortmund","Hörde"
420,68,3.5,"Lützowstr. 90, Innenstadt, Dortmund","Innenstadt"
930,99.35,3,"Hörder-Bach-Allee 15, Hörde, Dortmund","Hörde"
445,67.76,3,"Bienenstr. 2, Asseln, Dortmund","Asseln"
370,59,3.5,"Thranestrasse 64, Brackel, Dortmund","Brackel"
450,75,3.5,"Mengede, Dortmund","Mengede"
340,52,3,"Lütgendortmund, Dortmund","Lütgendortmund"
340,73.52,3,"Brechtstraße 1, Scharnhorst, Dortmund","Scharnhorst"
360,59,3,"Innenstadt, Dortmund","Innenstadt"
415,59,3,"Innenstadt, Dortmund","Innenstadt"
335,33,1,"Wittener Straße 299, Dorstfeld, Dortmund","Dorstfeld"
494,54,2.5,"Paradiesstrasse im Rittergut Haus Sölde 18, Sölde, Dortmund","Sölde"
680,94,3,"Hohensyburgstr. 187b, Syburg, Dortmund","Syburg"
390,76,3,"Dorstfelder Hellweg 108, Dorstfeld, Dortmund","Dorstfeld"
286.72,64,3,"Grotenbachstr. 56, Hombruch, Dortmund","Hombruch"
519,79.93,3,"Am Sturmwald 2a, Menglinghausen, Dortmund","Menglinghausen"
335,45.78,2,"Am Sturmwald 16, Menglinghausen, Dortmund","Menglinghausen"
369,56.92,2,"Am Sturmwald 4b, Menglinghausen, Dortmund","Menglinghausen"
334.01,81,3,"Fohlenkampstraße 26a, Kurl, Dortmund","Kurl"
343.41,81,3,"Fohlenkampstraße 26a, Kurl, Dortmund","Kurl"
409,46.5,2.5,"Binsengarten 10, Hörde, Dortmund","Hörde"
469,53.29,3,"Wahrbuschstraße 34, Hörde, Dortmund","Hörde"
369,38.74,2,"Unverhofftstraße 20, Hörde, Dortmund","Hörde"
266.91,40.32,2,"Totilastraße 19, Huckarde, Dortmund","Huckarde"
309,63.01,2,"Totilastraße 10, Huckarde, Dortmund","Huckarde"
340.48,57.48,2.5,"Totilastraße 9, Huckarde, Dortmund","Huckarde"
389,60.8,3.5,"Lippmannstraße 16, Rahm, Dortmund","Rahm"
360,59.43,3,"Lippmannstraße 14, Rahm, Dortmund","Rahm"
369,55.77,3.5,"Lippmannstraße 3, Rahm, Dortmund","Rahm"
359,55.02,3.5,"Bergiusstraße 12, Rahm, Dortmund","Rahm"
256.04,43.47,2,"Speckestraße 18, Bodelschwingh, Dortmund","Bodelschwingh"
499,78.25,3,"Kiepeweg 9, Westerfilde, Dortmund","Westerfilde"
479,70,3.5,"Kiepeweg 22, Westerfilde, Dortmund","Westerfilde"
369,72,3,"Kiepeweg 12, Westerfilde, Dortmund","Westerfilde"
403.2,72,3,"Kiepeweg 12, Westerfilde, Dortmund","Westerfilde"
499.24,78.25,3,"Mosselde 10, Westerfilde, Dortmund","Westerfilde"
529,78.25,3,"Mosselde 8, Westerfilde, Dortmund","Westerfilde"
343,53.64,3.5,"Erdmannstraße 6, Nette, Dortmund","Nette"
330.22,51.84,3.5,"Erdmannstraße 18, Nette, Dortmund","Nette"
329,53.84,3,"Brinkmannstraße 1, Nette, Dortmund","Nette"
330,45.16,1,"Passweg 28, Oestrich, Dortmund","Oestrich"
419,56.92,2,"Passweg 28, Oestrich, Dortmund","Oestrich"
319,45.01,1,"Mahlscheidt 8, Oestrich, Dortmund","Oestrich"
302,45.16,1,"Mahlscheidt 6, Oestrich, Dortmund","Oestrich"
669,77.01,3.5,"Mallinckrodtstr. 130, Innenstadt, Dortmund","Innenstadt"
392.35,77,3.5,"Hofgerichtsweg 20, Brackel, Dortmund","Brackel"
599,80,3,"Am Bahnhof Tierpark 40, Renninghausen, Dortmund","Renninghausen"
679,91,4.5,"Am Bahnhof Tierpark 20, Renninghausen, Dortmund","Renninghausen"
519,78,3.5,"Rahestr. 14A, Brackel, Dortmund","Brackel"
519,57.2,3,"Rathenaustr. 41, Hörde, Dortmund","Hörde"
429,56.11,3.5,"Phönixstr. 22, Hörde, Dortmund","Hörde"
349,58.13,2.5,"Stürzelbreite 10, Oestrich, Dortmund","Oestrich"
324,40.51,2,"Bredowstr. 18A, Neuasseln, Dortmund","Neuasseln"
465,77,3.5,"Bekassinenweg 4, Berghofen, Dortmund","Berghofen"
429,70,2.5,"Bekassinenweg 8, Berghofen, Dortmund","Berghofen"
336.57,75.6,3.5,"Adelhartweg 1, Nette, Dortmund","Nette"
359,63.65,2.5,"Butzstr. 17, Nette, Dortmund","Nette"
293,51.58,1.5,"Butzstr. 17, Nette, Dortmund","Nette"
335.1,75.88,3.5,"Ritsartweg 7, Nette, Dortmund","Nette"
239.34,40.31,2.5,"Thüringer Str. 17, Eving, Dortmund","Eving"
296.35,49.09,2.5,"Thüringer Str. 24, Eving, Dortmund","Eving"
280.79,49.48,3,"Richterstr. 11, Bodelschwingh, Dortmund","Bodelschwingh"
233.79,40,1.5,"Richterstr. 11, Bodelschwingh, Dortmund","Bodelschwingh"
