Ort;Plz;Bundesland
Altenfeld;98701;Thüringen
Altengesees;7356;Thüringen
Altenglan;66885;Rheinland-Pfalz
Altengottern;99991;Thüringen
Altenhagen;17091;Mecklenburg-Vorpommern
Altenhagen;18236;Mecklenburg-Vorpommern
Altenhausen;39343;Sachsen-Anhalt
Altenhof;16244;Brandenburg
Altenhof;17209;Mecklenburg-Vorpommern
Altenhof;24340;Schlewig-Holstein
Altenhof;54636;Rheinland-Pfalz
Altenhof;54655;Rheinland-Pfalz
Altenhof;67677;Rheinland-Pfalz
Altenholz;24161;Schlewig-Holstein
Altenholz;24161;Schlewig-Holstein
Altenkirchen;18556;Mecklenburg-Vorpommern
Altenkirchen;57610;Rheinland-Pfalz
Altenkirchen;66903;Rheinland-Pfalz
Altenkrempe;23730;Schlewig-Holstein
Altenkunstadt;96264;Bayern
Altenmarkt;83352;Bayern
Altenmedingen;29575;Niedersachsen
Altenmoor;25335;Schlewig-Holstein
Altenmünster;86450;Bayern
Altenpleen;18445;Mecklenburg-Vorpommern
Altenriet;72657;Baden-Württemberg
Altenroda;6642;Sachsen-Anhalt
Altensalzwedel;29416;Sachsen-Anhalt
Altenstadt;63674;Hessen
Altenstadt;86972;Bayern
Altenstadt;89281;Bayern
Altenstadt;92665;Bayern
Altensteig;72213;Baden-Württemberg
Altenthann;93177;Bayern
Altentreptow;17087;Mecklenburg-Vorpommern
Altenweddingen;39171;Sachsen-Anhalt
Altenzaun;39596;Sachsen-Anhalt
Alterkülz;56288;Rheinland-Pfalz
Alterode;6543;Sachsen-Anhalt
Altersbach;98587;Thüringen
Altertheim;97237;Bayern
Altes Forsthaus;56130;Rheinland-Pfalz
Altes Lager;14913;Brandenburg
Altfraunhofen;84169;Bayern
Altfriedland;15320;Brandenburg
Altfriesack;16818;Brandenburg
Alt-Galow;16278;Brandenburg
Altgersdorf;16259;Brandenburg
Altglietzen;16259;Brandenburg
Althegnenberg;82278;Bayern
Altheim;88499;Baden-Württemberg
Altheim;89174;Baden-Württemberg
Altheim;89605;Baden-Württemberg
Altheimersberg;91788;Bayern
Althengstett;75382;Baden-Württemberg
Althornbach;66484;Rheinland-Pfalz
Althütte;71566;Baden-Württemberg
Althüttendorf;16247;Brandenburg
Altjeßnitz;6800;Sachsen-Anhalt
Altkalen;17179;Mecklenburg-Vorpommern
Altkirchen;4626;Thüringen
Altkünkendorf;16278;Brandenburg
Altlandsberg;15345;Brandenburg
Altlay;56858;Rheinland-Pfalz
Altleiningen;67317;Rheinland-Pfalz
Altlewin;16259;Brandenburg
Altlüdersdorf;16775;Brandenburg
Altlußheim;68804;Baden-Württemberg
Altmachern;54492;Rheinland-Pfalz
Altmädewitz;16259;Brandenburg
Altmannstein;93336;Bayern
Altmersleben;39624;Sachsen-Anhalt
Altmittweida;9648;Sachsen
Altomünster;85250;Bayern
Altona;19294;Mecklenburg-Vorpommern
Altottenhain;4643;Sachsen
Altötting;84503;Bayern
Altreetz;16259;Brandenburg
Altrich;54518;Rheinland-Pfalz
Altrip;67122;Rheinland-Pfalz
Alt-Schadow;15910;Brandenburg
Altscheid;54636;Rheinland-Pfalz
Altshausen;88361;Baden-Württemberg
Altstrimmig;56858;Rheinland-Pfalz
Alt-Sührkow;17166;Mecklenburg-Vorpommern
Altthymen;16798;Brandenburg
Alttrebbin;16259;Brandenburg
Altusried;87452;Bayern
Altwarp;17375;Mecklenburg-Vorpommern
Altweidelbach;55469;Rheinland-Pfalz
Altwigshagen;17379;Mecklenburg-Vorpommern
Altwittenbek;24214;Schlewig-Holstein
Altwustrow;16259;Brandenburg
Alveslohe;25486;Schlewig-Holstein
Alzenau;63755;Bayern
Alzey;55232;Rheinland-Pfalz
Am Jägerberg;21227;Niedersachsen
Am Quicken;82493;Bayern
Am Rainberge;34497;Hessen
Am Römerhof;61200;Hessen
Am Römerschacht;61200;Hessen
Am Rönndeich;21706;Niedersachsen
Am Rüdesheimer Hafen;65385;Hessen
Am Sandkopf;34127;Hessen
Am Sandweiher;66849;Rheinland-Pfalz
Am Springberg;76889;Rheinland-Pfalz
Am Tekenberge;38350;Niedersachsen
Amalienfelde;16766;Brandenburg
Amberg;86854;Bayern
Amberg;92224;Bayern
Amelinghausen;21385;Niedersachsen
Amerang;83123;Bayern
Amerdingen;86735;Bayern
Amesdorf;39439;Sachsen-Anhalt
Ammeldingen;54673;Rheinland-Pfalz
Ammeldingen;54675;Rheinland-Pfalz
Ammelstädt;7407;Thüringen
Ammerbuch;72119;Baden-Württemberg
Ammern;99974;Thüringen
Ammerndorf;90614;Bayern
Ammersbek;22949;Schlewig-Holstein
Ammerthal;92260;Bayern
Amöneburg;35287;Hessen
Amorbach;63916;Bayern
Ampfing;84539;Bayern
Ampfurth;39387;Sachsen-Anhalt
Amsdorf;6317;Sachsen-Anhalt
Amselgraben;83329;Bayern
Amstetten;73340;Baden-Württemberg
Amtsberg;9439;Sachsen
Amtzell;88279;Baden-Württemberg
An der Chaussee;25840;Schlewig-Holstein
An der Rhumequelle;37434;Niedersachsen
Andechs;82346;Bayern
Andenhausen;36452;Thüringen
Anderbeck;38836;Sachsen-Anhalt
Anderlingen;27446;Niedersachsen
Andernach;56626;Rheinland-Pfalz
Andervenne;49832;Niedersachsen
Andisleben;99189;Thüringen
Andrichstadt;83364;Bayern
Angelbachtal;74918;Baden-Württemberg
Angelburg;35719;Hessen
Angelhof I u. II;67346;Rheinland-Pfalz
Angelroda;99338;Thüringen
Anger;83454;Bayern
Anger;83565;Bayern
Angermünde;16278;Brandenburg
Angern;39326;Sachsen-Anhalt
Angersdorf;6179;Sachsen-Anhalt
Angl;83739;Bayern
Anhausen;56584;Rheinland-Pfalz
Ankermühle;37308;Thüringen
Ankershagen;17219;Mecklenburg-Vorpommern
Anklam;17389;Mecklenburg-Vorpommern
Ankum;49577;Niedersachsen
Anna Luisenhof;18239;Mecklenburg-Vorpommern
Annaberg;67098;Rheinland-Pfalz
Annaberg-Buchholz;9456;Sachsen
Annaburg;6925;Sachsen-Anhalt
Annahütte;1994;Brandenburg
Annarode;6308;Sachsen-Anhalt
Anning;83368;Bayern
Annweiler;76855;Rheinland-Pfalz
Anröchte;59609;Nordrhein-Westfalen
Ansbach;91522;Bayern
Anschau;56729;Rheinland-Pfalz
Antdorf;82387;Bayern
Antrifttal;36326;Hessen
Antweiler;53533;Rheinland-Pfalz
Anzing;85646;Bayern
Apelern;31552;Niedersachsen
Apen;26689;Niedersachsen
Apenburg;38486;Sachsen-Anhalt
Apensen;21641;Niedersachsen
Apfeldorf;86974;Bayern
Apfelstädt;99192;Thüringen
Apfeltrach;87742;Bayern
Apolda;99510;Thüringen
Appel;21279;Niedersachsen
Appelbeck;21279;Niedersachsen
Appeln;27616;Niedersachsen
Appen;25482;Schlewig-Holstein
Appenheim;55437;Rheinland-Pfalz
Appenrode;99768;Thüringen
Appensee;74597;Baden-Württemberg
Appenweier;77767;Baden-Württemberg
Apperting;83376;Bayern
Arbach;56769;Rheinland-Pfalz
Arberg;91722;Bayern
Aremberg;53533;Rheinland-Pfalz
Arendsee;17291;Brandenburg
Arendsee;39619;Sachsen-Anhalt
Arenrath;54518;Rheinland-Pfalz
Arensdorf;6369;Sachsen-Anhalt
Arensdorf;15518;Brandenburg
Arenshausen;37318;Thüringen
Arensnest;14827;Brandenburg
Arenzhain;3253;Brandenburg
Aresing;86561;Bayern
Arft;56729;Rheinland-Pfalz
Argenbühl;88260;Baden-Württemberg
Argenschwang;55595;Rheinland-Pfalz
Argenthal;55496;Rheinland-Pfalz
Arholzen;37627;Niedersachsen
Arkebek;25767;Schlewig-Holstein
Arleting;83374;Bayern
Arlewatt;25860;Schlewig-Holstein
Armsheim;55288;Rheinland-Pfalz
Armstedt;24616;Schlewig-Holstein
Armstorf;21769;Niedersachsen
Arnbruck;93471;Bayern
Arneburg;39596;Sachsen-Anhalt
Arnis;24399;Schlewig-Holstein
Arnsau;53547;Rheinland-Pfalz
Arnsbach;7330;Thüringen
Arnsberg;59755;Nordrhein-Westfalen
Arnsberg;59757;Nordrhein-Westfalen
Arnsberg;59759;Nordrhein-Westfalen
Arnsberg;59821;Nordrhein-Westfalen
Arnsberg;59823;Nordrhein-Westfalen
Arnschwang;93473;Bayern
Arnsdorf;1477;Sachsen
Arnsdorf;6917;Sachsen-Anhalt
Arnsgereuth;7318;Thüringen
Arnsgrün;7952;Thüringen
Arnshöfen;56244;Rheinland-Pfalz
Arnsnesta;4916;Brandenburg
Arnstadt;99310;Thüringen
Arnstedt;6333;Sachsen-Anhalt
Arnstein;56379;Rheinland-Pfalz
Arnstein;97450;Bayern
Arnstorf;94424;Bayern
Arpsdorf;24634;Schlewig-Holstein
Arpshagen;23948;Mecklenburg-Vorpommern
Arrach;93474;Bayern
Arras;9326;Sachsen
Artamhof;66849;Rheinland-Pfalz
Artern;6556;Thüringen
Artlenburg;21380;Niedersachsen
Arzbach;56337;Rheinland-Pfalz
Arzberg;4886;Sachsen
Arzberg;95659;Bayern
Arzfeld;54687;Rheinland-Pfalz
Asbach;53567;Rheinland-Pfalz
Asbach;55758;Rheinland-Pfalz
Asbach;89522;Baden-Württemberg
Asbach;98574;Thüringen
Asbach-Bäumenheim;86663;Bayern
Asbacherhütte;55758;Rheinland-Pfalz
Asbach-Sickenberg;37318;Thüringen
Ascha;94347;Bayern
Aschaffenburg;63739;Bayern
Aschaffenburg;63741;Bayern
Aschaffenburg;63743;Bayern
Aschara;99958;Thüringen
Aschau;7426;Thüringen
Aschau;83229;Bayern
Aschau;84544;Bayern
Aschbach;67753;Rheinland-Pfalz
Aschbach;83739;Bayern
Ascheberg;24326;Schlewig-Holstein
Ascheberg;59387;Nordrhein-Westfalen
Ascheffel;24358;Schlewig-Holstein
Aschendorf;26871;Niedersachsen
Aschenhausen;98634;Thüringen
Aschenhütte;37412;Niedersachsen
Aschersleben;6449;Sachsen-Anhalt
Aschheim;85609;Bayern
Aseleben;6317;Sachsen-Anhalt
Asendorf;21271;Niedersachsen
Asendorf;27330;Niedersachsen
Aspach;71546;Baden-Württemberg
Aspach;99880;Thüringen
Aspelhorn;21388;Niedersachsen
Aspenstedt;38822;Sachsen-Anhalt
Asperg;71679;Baden-Württemberg
Aspisheim;55459;Rheinland-Pfalz
Assamstadt;97959;Baden-Württemberg
Asselfingen;89176;Baden-Württemberg
Aßlar;35614;Hessen
Aßling;85617;Bayern
Ast;83565;Bayern
Ast;93449;Bayern
Astert;57627;Rheinland-Pfalz
Ateritz;6901;Sachsen-Anhalt
Athenstedt;38822;Sachsen-Anhalt
Attendorn;57439;Nordrhein-Westfalen
Attenhausen;56370;Rheinland-Pfalz
Attenhofen;84091;Bayern
Attenkirchen;85395;Bayern
Attenweiler;88448;Baden-Württemberg
Atterwasch;3172;Brandenburg
Atting;94348;Bayern
Atzelgift;57629;Rheinland-Pfalz
Atzendorf;39443;Sachsen-Anhalt
Atzlbach;83364;Bayern
Au;76474;Baden-Württemberg
Au;79280;Baden-Württemberg
Au;83364;Bayern
Au;83546;Bayern
Au;84072;Bayern
Aub;97239;Bayern
Aubstadt;97633;Bayern
Audenhain;4838;Sachsen
Auderath;56766;Rheinland-Pfalz
Aue;8280;Sachsen
Aue a Berg;7318;Thüringen
Auel;56357;Rheinland-Pfalz
Auen;55569;Rheinland-Pfalz
Auenwald;71549;Baden-Württemberg
Auerbach;8209;Sachsen
Auerbach;9392;Sachsen
Auerbach;91275;Bayern
Auerbach;94530;Bayern
Auerberg;95703;Bayern
Auerstedt;99518;Thüringen
Auetal;31749;Niedersachsen
Aufhausen;93089;Bayern
Aufkirchen;82282;Bayern
Aufseß;91347;Bayern
Auggen;79424;Baden-Württemberg
Augsburg;86150;Bayern
Augsburg;86152;Bayern
Augsburg;86153;Bayern
Augsburg;86154;Bayern
Augsburg;86156;Bayern
Augsburg;86157;Bayern
Augsburg;86159;Bayern
Augsburg;86161;Bayern
Augsburg;86163;Bayern
Augsburg;86165;Bayern
Augsburg;86167;Bayern
Augsburg;86169;Bayern
Augsburg;86179;Bayern
Augsburg;86199;Bayern
Augsdorf;6308;Sachsen-Anhalt
Augustdorf;32832;Nordrhein-Westfalen
Augustusburg;9573;Sachsen
Auhagen;31553;Niedersachsen
Auhausen;86736;Bayern
Auhof;74564;Baden-Württemberg
Aukrug;24613;Schlewig-Holstein
Auleben;99765;Thüringen
Aulendorf;88326;Baden-Württemberg
Aull;65582;Rheinland-Pfalz
Aulosen;39615;Sachsen-Anhalt
Auma;7955;Thüringen
Aumühle;21521;Schlewig-Holstein
Aura;97717;Bayern
Aura;97773;Bayern
Aurach;91589;Bayern
Aurachtal;91086;Bayern
Aurich;26603;Niedersachsen
Aurich;26605;Niedersachsen
Aurich;26607;Niedersachsen
Ausacker;24975;Schlewig-Holstein
Ausleben;39393;Sachsen-Anhalt
Außernzell;94532;Bayern
Authausen;4849;Sachsen
Auufer;25548;Schlewig-Holstein
Auw;54597;Rheinland-Pfalz
Auw;54664;Rheinland-Pfalz
Auwies;94568;Bayern
Aventoft;25927;Schlewig-Holstein
Averlak;25715;Schlewig-Holstein
Axien;6922;Sachsen-Anhalt
Axstedt;27729;Niedersachsen
Aying;85653;Bayern
Ayl;54441;Rheinland-Pfalz
Aystetten;86482;Bayern
Azmannsdorf;99198;Thüringen
Azmannsdorf;99198;Thüringen
Baabe;18586;Mecklenburg-Vorpommern
Baalberge;6408;Sachsen-Anhalt
Baar;56729;Rheinland-Pfalz
Baar;86674;Bayern
Baar-Ebenhausen;85107;Bayern
Baarz;19309;Brandenburg
Baasdorf;6388;Sachsen-Anhalt
Babben;3246;Brandenburg
Bäbelin;23992;Mecklenburg-Vorpommern
Baben;39596;Sachsen-Anhalt
Babenhausen;64832;Hessen
Babenhausen;87727;Bayern
Babensham;83547;Bayern
Babke;17237;Mecklenburg-Vorpommern
Babst;23992;Mecklenburg-Vorpommern
Bach;4828;Sachsen
Bach;83364;Bayern
Bach;83739;Bayern
Bach;93090;Bayern
Bacharach;55422;Rheinland-Pfalz
Bachenberg;57610;Rheinland-Pfalz
Bachfeld;96528;Thüringen
Bachhagel;89429;Bayern
Bächingen;89431;Bayern
Bachzelten;84428;Bayern
Backnang;71522;Baden-Württemberg
Bad Abbach;93077;Bayern
Bad Aibling;83043;Bayern
Bad Alexandersbad;95680;Bayern
Bad Arolsen;34454;Hessen
Bad Bayersoien;82435;Bayern
Bad Bederkesa;27624;Niedersachsen
Bad Bellingen;79415;Baden-Württemberg
Bad Bentheim;48455;Niedersachsen
Bad Bergzabern;76887;Rheinland-Pfalz
Bad Berka;99438;Thüringen
Bad Berleburg;57319;Nordrhein-Westfalen
Bad Berneck;95460;Bayern
Bad Bertrich;56864;Rheinland-Pfalz
Bad Bevensen;29549;Niedersachsen
Bad Bibra;6647;Sachsen-Anhalt
Bad Birnbach;84364;Bayern
Bad Blankenburg;7422;Thüringen
Bad Bocklet;97708;Bayern
Bad Bodenteich;29389;Niedersachsen
Bad Brambach;8648;Sachsen
Bad Bramstedt;24576;Schlewig-Holstein
Bad Breisig;53498;Rheinland-Pfalz
Bad Brückenau;97769;Bayern
Bad Buchau;88422;Baden-Württemberg
Bad Camberg;65520;Hessen
Bad Colberg-Heldburg;98663;Thüringen
Bad Ditzenbach;73342;Baden-Württemberg
Bad Doberan;18209;Mecklenburg-Vorpommern
Bad Driburg;33014;Nordrhein-Westfalen
Bad Düben;4849;Sachsen
Bad Dürkheim;67098;Rheinland-Pfalz
Bad Dürrenberg;6231;Sachsen-Anhalt
Bad Dürrheim;78073;Baden-Württemberg
Bad Eilsen;31707;Niedersachsen
Bad Elster;8645;Sachsen
Bad Ems;56130;Rheinland-Pfalz
Bad Emstal;34308;Hessen
Bad Endbach;35080;Hessen
Bad Endorf;83093;Bayern
Bad Essen;49152;Niedersachsen
Bad Feilnbach;83075;Bayern
Bad Frankenhausen;6567;Thüringen
Bad Freienwalde;16259;Brandenburg
Bad Friedrichshall;74177;Baden-Württemberg
Bad Füssing;94072;Bayern
Bad Gandersheim;37581;Niedersachsen
Bad Gottleuba;1816;Sachsen
Bad Griesbach;94086;Bayern
Bad Grönenbach;87730;Bayern
Bad Grund;37539;Niedersachsen
Bad Harzburg;38667;Niedersachsen
Bad Heilbrunn;83670;Bayern
Bad Herrenalb;76332;Baden-Württemberg
Bad Hersfeld;36251;Hessen
Bad Homburg;61348;Hessen
Bad Homburg;61350;Hessen
Bad Homburg;61352;Hessen
Bad Honnef;53604;Nordrhein-Westfalen
Bad Hönningen;53557;Rheinland-Pfalz
Bad Iburg;49186;Niedersachsen
Bad Karlshafen;34385;Hessen
Bad Kissingen;97688;Bayern
